i_index,r_index,title,isbn_10,isbn_13,publish_date,key,subjects,languages,description.value,genres,image_id,image_url
17643,73504,Four Days of You and Me,,['9781492684138'],2020,/books/OL28087551M,"[""Children's fiction""]",[{'key': '/languages/eng'}],,,9.78149E+12,https://covers.openlibrary.org/b/isbn/9781492684138.jpg
17653,73546,Destiny's Forge,,['9781734318913'],2020,/books/OL28097777M,"['Fiction, science fiction, general', 'Fiction, horror']",[{'key': '/languages/eng'}],,,9.78173E+12,https://covers.openlibrary.org/b/isbn/9781734318913.jpg
17656,73555,Spelunkers,,['9781643901510'],2020,/books/OL28100186M,"[""Children's fiction"", 'Fiction, action & adventure']",[{'key': '/languages/eng'}],,,9.78164E+12,https://covers.openlibrary.org/b/isbn/9781643901510.jpg
17663,73573,Jessica of Russ,,['9781892784476'],2020,/books/OL28105701M,"['Fiction, historical', 'Fiction, general']",[{'key': '/languages/eng'}],,,9.78189E+12,https://covers.openlibrary.org/b/isbn/9781892784476.jpg
17665,73576,Cendovian,,['9781734387728'],2020,/books/OL28106066M,"['Fiction, science fiction, general', 'Fiction, romance, general']",[{'key': '/languages/eng'}],,,9.78173E+12,https://covers.openlibrary.org/b/isbn/9781734387728.jpg
18800,75953,Hunting Evil,,['9781471179556'],2020,/books/OL28732412M,"['Fiction, suspense', 'Serial murders, fiction', 'Los angeles (calif.), fiction']",[{'key': '/languages/eng'}],,,9.78147E+12,https://covers.openlibrary.org/b/isbn/9781471179556.jpg
19321,76682,Jade War,,['9780316440905'],2020,/books/OL28939179M,"['Fiction, fantasy, general']",[{'key': '/languages/eng'}],,,9.78032E+12,https://covers.openlibrary.org/b/isbn/9780316440905.jpg
19325,76688,Tiamat's Wrath,,['9780316332897'],2020,/books/OL28940416M,"['Fiction, science fiction, general']",[{'key': '/languages/eng'}],,,9.78032E+12,https://covers.openlibrary.org/b/isbn/9780316332897.jpg
20450,78284,Fifth Principle,,['9780429920790'],2020,/books/OL29399419M,"['Fiction, biographical']",[{'key': '/languages/eng'}],,,9.78043E+12,https://covers.openlibrary.org/b/isbn/9780429920790.jpg
20677,78582,Beach Trees,,['9780593198094'],2020,/books/OL29477369M,"['Women artists, fiction', 'Missing persons, fiction', 'Biloxi (miss.), fiction', 'New york (n.y.), fiction', 'Fiction, coming of age', 'Fiction, family life']",[{'key': '/languages/eng'}],,,9.78059E+12,https://covers.openlibrary.org/b/isbn/9780593198094.jpg
20694,78606,Saint X,,['9781529014266'],2021,/books/OL29485055M,"['Sisters, fiction', 'Fiction, women', 'Caribbean area, fiction', 'Fiction, suspense', 'Missing persons, fiction']",[{'key': '/languages/eng'}],,,9.78153E+12,https://covers.openlibrary.org/b/isbn/9781529014266.jpg
21393,79657,Small Days and Nights,,['9781324005247'],2020,/books/OL29822380M,"['Fiction, family life', 'India, fiction', 'Sisters, fiction']",[{'key': '/languages/eng'}],,,9.78132E+12,https://covers.openlibrary.org/b/isbn/9781324005247.jpg
21425,79713,Terra Nova,,['9781982124748'],2020,/books/OL29837672M,"['Science fiction, american']",[{'key': '/languages/eng'}],,,9.78198E+12,https://covers.openlibrary.org/b/isbn/9781982124748.jpg
21446,79741,Paranorthern,,['9780358168997'],2021,/books/OL29845365M,"[""Children's fiction""]",[{'key': '/languages/eng'}],,,9.78036E+12,https://covers.openlibrary.org/b/isbn/9780358168997.jpg
21502,79839,Antigenesis,,['9781734259544'],2020,/books/OL29875297M,"['Fiction, thrillers, general', 'Fiction, general']",[{'key': '/languages/eng'}],,,9.78173E+12,https://covers.openlibrary.org/b/isbn/9781734259544.jpg
21513,79854,Shot at Normal,,['9780374380953'],2021,/books/OL29882268M,"[""Children's fiction""]",[{'key': '/languages/eng'}],,,9.78037E+12,https://covers.openlibrary.org/b/isbn/9780374380953.jpg
21551,79932,Survivor,,['9781951085155'],2020,/books/OL29913319M,"['Fiction, romance, general', 'Fiction, suspense']",[{'key': '/languages/eng'}],,,9.78195E+12,https://covers.openlibrary.org/b/isbn/9781951085155.jpg
21607,80049,Mars Mission I,,['9781734224610'],2020,/books/OL29980874M,"['Fiction, action & adventure', 'Fiction, thrillers, general']",[{'key': '/languages/eng'}],,,9.78173E+12,https://covers.openlibrary.org/b/isbn/9781734224610.jpg
21813,80560,Charlie Thorne and the Last Equation,,['9781534424777'],2020,/books/OL30192795M,"[""Children's fiction"", 'Genius, fiction', 'Spies, fiction', 'Adventure and adventurers, fiction', 'Racially mixed people, fiction']",[{'key': '/languages/eng'}],,,9.78153E+12,https://covers.openlibrary.org/b/isbn/9781534424777.jpg
21814,80561,Golden Pact,,['9781564746153'],2020,/books/OL30193187M,"['Fiction, general']",[{'key': '/languages/eng'}],,,9.78156E+12,https://covers.openlibrary.org/b/isbn/9781564746153.jpg
21823,80576,Gung Ho Vol 1,,['9781950912179'],2020,/books/OL30199074M,"['Fiction, action & adventure']",[{'key': '/languages/eng'}],,,9.78195E+12,https://covers.openlibrary.org/b/isbn/9781950912179.jpg
25070,94062,Light Through the Cave,,['9781733872713'],2021,/books/OL34102936M,"['Fiction, fantasy, general', ""Children's fiction""]",[{'key': '/languages/eng'}],,,9.78173E+12,https://covers.openlibrary.org/b/isbn/9781733872713.jpg
25179,94272,Night Road,,['9781250838490'],2022,/books/OL34151928M,"['Fiction, psychological', 'Fiction, family life', 'Mother and child, fiction']",[{'key': '/languages/eng'}],,,9.78125E+12,https://covers.openlibrary.org/b/isbn/9781250838490.jpg
25231,94369,Delectable Mountain Quilting,,['9781956057003'],2021,/books/OL34174527M,"['Fiction, mystery & detective, general']",[{'key': '/languages/eng'}],,,9.78196E+12,https://covers.openlibrary.org/b/isbn/9781956057003.jpg
25955,96360,Rube Goldberg and His Amazing Machines,,['9781419750045'],2021,/books/OL34710545M,"[""Children's fiction""]",[{'key': '/languages/eng'}],,,9.78142E+12,https://covers.openlibrary.org/b/isbn/9781419750045.jpg
26027,97314,Skirt,,['9781952500114'],2020,/books/OL34927842M,"['Fiction, romance, general', 'Fiction, action & adventure']",[{'key': '/languages/eng'}],,,9.78195E+12,https://covers.openlibrary.org/b/isbn/9781952500114.jpg
26035,97386,Dark Covenant,,['9781941428238'],2020,/books/OL34951372M,"['Fiction, romance, general', 'Fiction, historical, general']",[{'key': '/languages/eng'}],,,9.78194E+12,https://covers.openlibrary.org/b/isbn/9781941428238.jpg
26116,98204,Making a Mark,,['9781951011604'],2021,/books/OL35209795M,"['Fiction, romance, general', 'Fiction, gay']",[{'key': '/languages/eng'}],,,9.78195E+12,https://covers.openlibrary.org/b/isbn/9781951011604.jpg
26380,101794,Man Who Solved Mysteries,,['9781936363605'],2021,/books/OL36141942M,"['Fiction, short stories (single author)', 'Fiction, mystery & detective, general']",[{'key': '/languages/eng'}],,,9.78194E+12,https://covers.openlibrary.org/b/isbn/9781936363605.jpg
26585,104639,Player in New Zealand,,['9781954705111'],2022,/books/OL36978141M,"['Fiction, romance, general']",[{'key': '/languages/eng'}],,,9.78195E+12,https://covers.openlibrary.org/b/isbn/9781954705111.jpg
27188,114177,Return to Sanctuary,,['9781648392801'],2022,/books/OL39409159M,"['Fiction, fantasy, general']",[{'key': '/languages/eng'}],,,9.78165E+12,https://covers.openlibrary.org/b/isbn/9781648392801.jpg
27823,128517,Demon's Spell,,['9781948704984'],2022,/books/OL42827846M,"['Fiction, fantasy, general']",[{'key': '/languages/eng'}],,,9.78195E+12,https://covers.openlibrary.org/b/isbn/9781948704984.jpg
28187,133723,Instances of head-switching,['0998463450'],['9780998463452'],2020,/books/OL44013990M,"['People with disabilities', 'Fiction', 'Goddesses', 'Monsters', 'Mythology']",[{'key': '/languages/eng'}],"""A middle school teacher relies on eight interchangeable heads to cope with her job. A woman tries to negotiate life with her arthritis witch and her boyfriend's seizure elf. The Germanic goddess Berchta, tired of being a fearsome hag, shows up in a woman's apartment wanting to be flat-mates. In the fictional worlds depicted in Instances of Head-switching, sphinxes are kept as pets, unicorns are raised on ranches, and Sisyphus has escaped from Hades and is happily working as a bagger at a grocery store. But characters still struggle to pay bills, deal with cranky customers and bosses, and navigate life with partial vision, limited mobility, and chronic diseases. Focusing on themes of embodiment, disability, and economic insecurity, Teresa Milbrodt offers witty and inventive tales full of compassion for her cash-strapped, hard-luck characters. The collection includes stories originally published in Guernica, Strange Horizons, PANK, and other journals""--Back cover.",,0998463450,https://covers.openlibrary.org/b/isbn/0998463450.jpg
30351,161346,Pearson eText for Mathematics for Elementary Teachers with Activities -- Instant Access (Pearson+),,['9780137442812'],2021,/books/OL50498099M,"['Suspense', 'General', 'English & college success -> english -> fiction']",[{'key': '/languages/eng'}],,,9.78014E+12,https://covers.openlibrary.org/b/isbn/9780137442812.jpg
31594,171417,My Best Is Enough,,['9780578988511'],2021,/books/OL53257297M,"['Fiction, war & military', 'Fiction, psychological']",[{'key': '/languages/eng'}],,,9.78058E+12,https://covers.openlibrary.org/b/isbn/9780578988511.jpg
67538,285839,Poppy,,['9780358108733'],2020,/books/OL28033217M,"[""Children's fiction""]",[{'key': '/languages/eng'}],,,9.78036E+12,https://covers.openlibrary.org/b/isbn/9780358108733.jpg
67557,285912,Actress,,['9781787332065'],2020,/books/OL28056587M,"['Fiction, general', 'Mothers and daughters, fiction']",[{'key': '/languages/eng'}],,,9.78179E+12,https://covers.openlibrary.org/b/isbn/9781787332065.jpg
67558,285913,Alpha Erased,,['9781943858637'],2020,/books/OL28056852M,"['Fiction, fantasy, general']",[{'key': '/languages/eng'}],,,9.78194E+12,https://covers.openlibrary.org/b/isbn/9781943858637.jpg
67651,286035,The Ballad of Ami Miles,,['9781250222138'],2020,/books/OL28086774M,"[""Children's fiction""]",[{'key': '/languages/eng'}],,,9.78125E+12,https://covers.openlibrary.org/b/isbn/9781250222138.jpg
67656,286051,Wildlife According to Og the Frog,,['9781984813756'],2020,/books/OL28089894M,"[""Children's fiction""]",[{'key': '/languages/eng'}],,,9.78198E+12,https://covers.openlibrary.org/b/isbn/9781984813756.jpg
67662,286066,Purple Lotus,,['9781631527616'],2020,/books/OL28091918M,"['Fiction, general']",[{'key': '/languages/eng'}],,,9.78163E+12,https://covers.openlibrary.org/b/isbn/9781631527616.jpg
67672,286109,Infected Journals,,['9781734648706'],2020,/books/OL28101733M,"['Fiction, action & adventure', 'Fiction, science fiction, general']",[{'key': '/languages/eng'}],,,9.78173E+12,https://covers.openlibrary.org/b/isbn/9781734648706.jpg
67673,286110,Trois Papillons,,['9781892617286'],2020,/books/OL28101744M,"['Fiction, general', 'Fiction, psychological']",[{'key': '/languages/eng'}],,,9.78189E+12,https://covers.openlibrary.org/b/isbn/9781892617286.jpg
69051,288849,Isabella Club,,['9780062315342'],2021,/books/OL28818727M,"['Fiction, general']",[{'key': '/languages/eng'}],,,9.78006E+12,https://covers.openlibrary.org/b/isbn/9780062315342.jpg
69349,289242,Irish above All,,['9780765380890'],2020,/books/OL28914814M,"['Ireland, fiction', 'Fiction, historical']",[{'key': '/languages/eng'}],,,9.78077E+12,https://covers.openlibrary.org/b/isbn/9780765380890.jpg
69422,289339,Celebrations,,['9780714549194'],2020,/books/OL28940355M,"['Fiction, general']",[{'key': '/languages/eng'}],,,9.78071E+12,https://covers.openlibrary.org/b/isbn/9780714549194.jpg
70633,291025,Finding Dora Maar,,['9781606066591'],2020,/books/OL29462170M,"['Fiction, biographical', 'Paris (france), fiction']",[{'key': '/languages/eng'}],,,9.78161E+12,https://covers.openlibrary.org/b/isbn/9781606066591.jpg
70807,291249,Brumby's Run,,['9781925827309'],2020,/books/OL29524386M,"['Fiction, westerns', 'Fiction, romance, general']",[{'key': '/languages/eng'}],,,9.78193E+12,https://covers.openlibrary.org/b/isbn/9781925827309.jpg
71362,292191,Lethal Game,,['9780593099773'],2020,/books/OL29822976M,"['Fiction, romance, paranormal', 'Fiction, romance, suspense']",[{'key': '/languages/eng'}],,,9.78059E+12,https://covers.openlibrary.org/b/isbn/9780593099773.jpg
71380,292215,Blue Mar,,['9781947003644'],2021,/books/OL29828094M,"['Fiction, science fiction, general', 'Fiction, suspense']",[{'key': '/languages/eng'}],,,9.78195E+12,https://covers.openlibrary.org/b/isbn/9781947003644.jpg
71391,292234,Hope's Highest Mountain,,['9781432872632'],2020,/books/OL29833395M,"['Montana, fiction', 'Fiction, westerns', 'Fiction, christian, romance']",[{'key': '/languages/eng'}],,,9.78143E+12,https://covers.openlibrary.org/b/isbn/9781432872632.jpg
71414,292267,Deserter,,['9781982146535'],2020-06,/books/OL29841432M,"['Fiction, action & adventure', 'Fiction, thrillers, general']",[{'key': '/languages/eng'}],,,9.78198E+12,https://covers.openlibrary.org/b/isbn/9781982146535.jpg
71441,292310,Contraband,,['9780593083147'],2020,/books/OL29851976M,"['Barrington, stone (fictitious character), fiction', 'Fiction, action & adventure', 'Fiction, thrillers, general']",[{'key': '/languages/eng'}],,,9.78059E+12,https://covers.openlibrary.org/b/isbn/9780593083147.jpg
71477,292368,Last Pilgrim,,['9781944662455'],2020,/books/OL29875288M,"['Fiction, historical', 'United states, history']",[{'key': '/languages/eng'}],,,9.78194E+12,https://covers.openlibrary.org/b/isbn/9781944662455.jpg
71529,292465,Beetle,,['9798643294221'],2020,/books/OL29919349M,"['Fiction, horror', 'Fiction, occult & supernatural', 'Egypt, fiction', 'London (england), fiction']",[{'key': '/languages/eng'}],,,9.79864E+12,https://covers.openlibrary.org/b/isbn/9798643294221.jpg
71809,293122,I'm Staying Here,,['9781635420371'],2020,/books/OL30198277M,"['Fiction, general']",[{'key': '/languages/eng'}],,,9.78164E+12,https://covers.openlibrary.org/b/isbn/9781635420371.jpg
71831,293154,Legacy and Other Stories,,['9781949135640'],2020,/books/OL30207954M,"['Fiction, romance, general', 'Fiction, historical']",[{'key': '/languages/eng'}],,,9.78195E+12,https://covers.openlibrary.org/b/isbn/9781949135640.jpg
75092,306423,Twenty after Midnight,,['9780735224780'],2020,/books/OL34094944M,"['Fiction, family life', 'Friendship, fiction', 'Internet, fiction', 'Brazil, fiction']",[{'key': '/languages/eng'}],,,9.78074E+12,https://covers.openlibrary.org/b/isbn/9780735224780.jpg
75125,306477,Death of Vivek Oji,,['9780525541615'],2020,/books/OL34109857M,"['Fiction, coming of age', 'Nigeria, fiction', 'Fiction, family life']",[{'key': '/languages/eng'}],,,9.78053E+12,https://covers.openlibrary.org/b/isbn/9780525541615.jpg
75488,307193,Stepping Heavenward,,['9781946145727'],2021,/books/OL34323312M,"['Fiction, religious', 'Family']",[{'key': '/languages/eng'}],,,9.78195E+12,https://covers.openlibrary.org/b/isbn/9781946145727.jpg
75538,307283,"In Darkness, Delight",,['9781953451057'],2021,/books/OL34365689M,"['Fiction, horror', 'Fiction, science fiction, general']",[{'key': '/languages/eng'}],,,9.78195E+12,https://covers.openlibrary.org/b/isbn/9781953451057.jpg
76003,308664,Fanny Hill,,['9781513269214'],2021,/books/OL34701497M,"['Fiction, erotica']",[{'key': '/languages/eng'}],,,9.78151E+12,https://covers.openlibrary.org/b/isbn/9781513269214.jpg
76117,309851,Cactus Lil and the City Slicker : Written in Love,,['9781943688777'],2021,/books/OL34984242M,"['Fiction, historical, general', 'Fiction, religious']",[{'key': '/languages/eng'}],,,9.78194E+12,https://covers.openlibrary.org/b/isbn/9781943688777.jpg
76479,313754,Take Me to the River,,['9781954409149'],2021,/books/OL36051686M,"['Fiction, romance, general', 'Fiction, general']",[{'key': '/languages/eng'}],,,9.78195E+12,https://covers.openlibrary.org/b/isbn/9781954409149.jpg
76815,318946,Amnesty,,['9781982144500'],2020,/books/OL37479428M,"['Fiction, cultural heritage', 'Fiction, psychological', 'Sydney (n.s.w.), fiction']",[{'key': '/languages/eng'}],,,9.78198E+12,https://covers.openlibrary.org/b/isbn/9781982144500.jpg
77105,322094,Girl in the Lifeboat,,['9781737607038'],2022,/books/OL38412519M,"['Fiction, historical, general', 'Great britain, history']",[{'key': '/languages/eng'}],,,9.78174E+12,https://covers.openlibrary.org/b/isbn/9781737607038.jpg
77409,327845,Paladin's Kiss,,['9781941674970'],2022,/books/OL39767302M,"['Fiction, fantasy, general']",[{'key': '/languages/eng'}],,,9.78194E+12,https://covers.openlibrary.org/b/isbn/9781941674970.jpg
77472,329425,Sturdy Yes of a People,,['9781944981525'],2022,/books/OL40126143M,"['Fiction, lgbtq+, gay']",[{'key': '/languages/eng'}],,,9.78194E+12,https://covers.openlibrary.org/b/isbn/9781944981525.jpg
77473,329434,Dreams of Delphine,,['9781733525978'],2022,/books/OL40129011M,"['Fiction, general', 'Fiction, visionary & metaphysical']",[{'key': '/languages/eng'}],,,9.78173E+12,https://covers.openlibrary.org/b/isbn/9781733525978.jpg
78352,347187,Return of George Washington,,['9781618276896'],2022,/books/OL44286060M,"['Fiction, science fiction, general', 'Fiction, thrillers, general']",[{'key': '/languages/eng'}],,,9.78162E+12,https://covers.openlibrary.org/b/isbn/9781618276896.jpg
81692,383705,Love Lost Adventure,,['9798987535479'],2023,/books/OL53352310M,"['Fiction, thrillers, suspense', 'Fiction, romance, general']",[{'key': '/languages/eng'}],,,9.79899E+12,https://covers.openlibrary.org/b/isbn/9798987535479.jpg
86207,393758,Incarnation,,['9781938288500'],2020,/books/OL55771015M,"['Fiction, visionary & metaphysical', 'Fiction, thrillers, general']",[{'key': '/languages/eng'}],,,9.78194E+12,https://covers.openlibrary.org/b/isbn/9781938288500.jpg
117558,497232,After the Third Bell,,['9781611090109'],2020,/books/OL28032903M,"['Fiction, short stories (single author)']",[{'key': '/languages/eng'}],,,9.78161E+12,https://covers.openlibrary.org/b/isbn/9781611090109.jpg
117627,497386,Shadow and Storm,,['9781911409496'],2020,/books/OL28071134M,"['Fiction, fantasy, general', 'Fiction, gay']",[{'key': '/languages/eng'}],,,9.78191E+12,https://covers.openlibrary.org/b/isbn/9781911409496.jpg
117679,497470,"At the Beginning, in the Blues",,['9781734385502'],2020,/books/OL28095957M,"['Fiction, fantasy, general']",[{'key': '/languages/eng'}],,,9.78173E+12,https://covers.openlibrary.org/b/isbn/9781734385502.jpg
119221,500512,Breakdown,,['9781250122476'],2020,/books/OL28908550M,"['Fiction, psychological', 'Fiction, thrillers']",[{'key': '/languages/eng'}],,,9.78125E+12,https://covers.openlibrary.org/b/isbn/9781250122476.jpg
120493,502281,Mirror Image,,['9781538733783'],2020,/books/OL29424580M,"['Fiction, romance, suspense', 'Fiction, thrillers, general']",[{'key': '/languages/eng'}],,,9.78154E+12,https://covers.openlibrary.org/b/isbn/9781538733783.jpg
120646,502487,That Dazzling Sun,,['9781945448416'],2020,/books/OL29473388M,"['Fiction, historical']",[{'key': '/languages/eng'}],,,9.78195E+12,https://covers.openlibrary.org/b/isbn/9781945448416.jpg
121363,503625,Prairie Lotus,,['9780358330837'],2020,/books/OL29821421M,"[""Children's fiction"", 'Racially mixed people, fiction', 'Frontier and pioneer life, fiction', 'Fathers and daughters, fiction', 'United states, history, 1865-1898, fiction']",[{'key': '/languages/eng'}],,,9.78036E+12,https://covers.openlibrary.org/b/isbn/9780358330837.jpg
121366,503628,Women in Black,,['9781982134099'],2020,/books/OL29822237M,"['Fiction, romance, historical', 'Sydney (n.s.w.), fiction', 'Fiction, women']",[{'key': '/languages/eng'}],,,9.78198E+12,https://covers.openlibrary.org/b/isbn/9781982134099.jpg
121398,503682,Norse Mythology for Kids,,['9781646118533'],2020,/books/OL29836669M,"[""Children's fiction""]",[{'key': '/languages/eng'}],,,9.78165E+12,https://covers.openlibrary.org/b/isbn/9781646118533.jpg
121419,503711,Paranorthern,,['9780358169000'],2021,/books/OL29845366M,"[""Children's fiction""]",[{'key': '/languages/eng'}],,,9.78036E+12,https://covers.openlibrary.org/b/isbn/9780358169000.jpg
121423,503717,The Man in Milan,,['9781951709112'],2020,/books/OL29847548M,"['Fiction, thrillers, general', 'Fiction, mystery & detective, general']",[{'key': '/languages/eng'}],,,9.78195E+12,https://covers.openlibrary.org/b/isbn/9781951709112.jpg
121482,503809,Last Passenger,,['9781643586403'],2020,/books/OL29882088M,"['London (england), fiction', 'Private investigators, fiction', 'Fiction, mystery & detective, historical']",[{'key': '/languages/eng'}],,,9.78164E+12,https://covers.openlibrary.org/b/isbn/9781643586403.jpg
121484,503811,Body Outside the Kremlin,,['9781883285975'],2021,/books/OL29882431M,"['Fiction, suspense', 'Fiction, mystery & detective, general']",[{'key': '/languages/eng'}],,,9.78188E+12,https://covers.openlibrary.org/b/isbn/9781883285975.jpg
121511,503846,Promises to the Dead,,['9780999698259'],2020,/books/OL29891117M,"['Fiction, mystery & detective, general', 'Fiction, historical']",[{'key': '/languages/eng'}],,,9.781E+12,https://covers.openlibrary.org/b/isbn/9780999698259.jpg
121647,504098,Las Biuty Queens,,['9781662600302'],2021,/books/OL30014514M,"['Fiction, gay', 'Fiction, short stories (single author)']",[{'key': '/languages/eng'}],,,9.78166E+12,https://covers.openlibrary.org/b/isbn/9781662600302.jpg
121740,504445,The Bass Rock,,['9781911214397'],2020,/books/OL30156796M,"['Fiction, historical']",[{'key': '/languages/eng'}],,,9.78191E+12,https://covers.openlibrary.org/b/isbn/9781911214397.jpg
121835,504588,Sleepless Nights,,['9781943639243'],2020,/books/OL30198954M,"['Fiction, horror', 'Fiction, psychological']",[{'key': '/languages/eng'}],,,9.78194E+12,https://covers.openlibrary.org/b/isbn/9781943639243.jpg
121836,504589,Neon Prey,,['9780525536604'],2020,/books/OL30199884M,"['Fiction, crime', 'Fiction, suspense', 'Fiction, mystery & detective, general', 'Davenport, lucas (fictitious character), fiction']",[{'key': '/languages/eng'}],,,9.78053E+12,https://covers.openlibrary.org/b/isbn/9780525536604.jpg
